"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.90201456595704e-20,0.647779246558764,0.698,0.401,8.95851896510939e-16,"12","NDUFB1"
3.14779895788738e-20,1.04733755443191,0.397,0.177,9.71725538299833e-16,"12","MPZL1"
3.15236366223355e-20,0.482862338624527,0.451,0.204,9.73134662531497e-16,"12","OTULINL"
3.17766917117494e-20,0.636092336976781,0.381,0.166,9.80946473141705e-16,"12","SNAP29"
3.37541403386036e-20,0.920894847139842,0.346,0.146,1.04199031225269e-15,"12","NAPRT"
3.53101684591961e-20,0.544130455508074,0.917,0.762,1.09002490033538e-15,"12","RHOA"
3.56317576425576e-20,1.00761949991241,0.375,0.162,1.09995235842575e-15,"12","ZDHHC7"
3.64370758745416e-20,1.13478657987759,0.254,0.092,1.1248125322471e-15,"12","HPSE"
3.67231837292229e-20,0.666830238332812,0.692,0.392,1.13364468172111e-15,"12","H2AFJ"
3.81459235629012e-20,0.735149269751285,0.613,0.332,1.17756466038676e-15,"12","ZBTB43"
3.89491216356141e-20,0.587505267366404,0.587,0.297,1.20235938489141e-15,"12","VPS35"
3.93016806757373e-20,0.728675220636499,0.559,0.278,1.21324288246001e-15,"12","MYO1F"
3.99508388424248e-20,0.461251847016726,0.422,0.187,1.23328239506565e-15,"12","BAG6"
3.99736799740506e-20,0.725315004286771,0.648,0.346,1.23398750079894e-15,"12","PGLS"
4.3527918252057e-20,0.636195233912233,0.508,0.244,1.343706836441e-15,"12","SIAH1"
4.35801125547852e-20,0.6143966340256,0.4,0.176,1.34531807456622e-15,"12","VPS37A"
4.90965471285271e-20,0.761000324471403,0.714,0.415,1.51561040985763e-15,"12","MAP4K3"
5.21424561320773e-20,0.696531669898663,0.457,0.217,1.60963762079723e-15,"12","PSENEN"
5.33703838042927e-20,0.913522470910232,0.349,0.147,1.64754374803852e-15,"12","NOTCH2NLC"
5.34508652446527e-20,0.688971767942033,0.514,0.257,1.65002821010243e-15,"12","SLC25A37"
5.56029123942355e-20,0.729118133755737,0.486,0.234,1.71646190561005e-15,"12","ARL8A"
5.68496156932133e-20,0.870609054392428,0.47,0.229,1.7549476364495e-15,"12","PGS1"
5.68812393818438e-20,0.72858080101745,0.457,0.217,1.75592385971752e-15,"12","SEMA4A"
5.8777435655673e-20,0.931655249105592,0.333,0.141,1.81445943869063e-15,"12","NAIP"
6.0862661985149e-20,0.638106005986272,0.775,0.463,1.87883037548155e-15,"12","CPEB4"
6.32080201143858e-20,0.543381999558641,0.635,0.348,1.95123158093109e-15,"12","SPATS2L"
6.41007915950055e-20,0.776450192908666,0.822,0.577,1.97879143653782e-15,"12","TFRC"
6.43687718885754e-20,0.540923121996562,0.997,0.998,1.98706398820032e-15,"12","MT-CO1"
6.52218531745385e-20,0.48705763781818,0.613,0.309,2.013398607498e-15,"12","FAM50A"
6.58244235399615e-20,1.10689482748936,0.273,0.105,2.03199995467861e-15,"12","SNCA"
6.64028762057285e-20,0.597020451386863,0.787,0.482,2.04985678847084e-15,"12","PSMB3"
7.15859903634944e-20,0.657886720518391,0.749,0.434,2.20985952252107e-15,"12","ARHGDIA"
7.68322872076294e-20,0.944778376410649,0.619,0.344,2.37181270609952e-15,"12","HIF1A-AS3"
8.01810089217e-20,0.825177961156961,0.349,0.148,2.47518774541288e-15,"12","TMEM189"
8.13018866366395e-20,0.943144899464486,0.356,0.154,2.50978924047306e-15,"12","KIF16B"
8.22721858031241e-20,0.555797717144811,0.537,0.267,2.53974237574244e-15,"12","PNKD"
1.00663844071818e-19,0.570133993938056,0.546,0.272,3.10749286649703e-15,"12","VTI1B"
1.01290888756136e-19,0.845907797182048,0.41,0.187,3.12684973590191e-15,"12","MTMR10"
1.02232337231365e-19,0.751950427369315,0.524,0.267,3.15591225033223e-15,"12","SLC25A13"
1.05274653989096e-19,0.877928330855625,0.483,0.24,3.2498285686434e-15,"12","AC006001.2"
1.07098186880997e-19,0.767302198734068,0.349,0.147,3.30612102901638e-15,"12","TESK1"
1.21546010660364e-19,0.789921215492911,0.416,0.192,3.75212534908542e-15,"12","EFL1"
1.24269751310478e-19,0.424020267803987,0.511,0.241,3.83620722295444e-15,"12","RSU1"
1.27672786531934e-19,0.65388538727937,0.508,0.25,3.94125892024082e-15,"12","TSPAN3"
1.27943509557205e-19,0.710973885816914,0.803,0.551,3.94961614003091e-15,"12","NDUFB2"
1.3083127316686e-19,0.698148883810465,0.317,0.13,4.03876140266096e-15,"12","TEX2"
1.3666989166876e-19,0.91224297846766,0.289,0.112,4.21899955581463e-15,"12","AMPD2"
1.40681192919134e-19,0.740171434697822,0.702,0.419,4.34282842541367e-15,"12","CALM3"
1.51908056318134e-19,0.633205106198368,0.54,0.276,4.6894016985408e-15,"12","MIR222HG"
1.52905951499376e-19,0.609468851043919,0.324,0.132,4.72020672278574e-15,"12","SNX30"
1.68426899726823e-19,0.696835750474407,0.413,0.186,5.19933839456704e-15,"12","ACOT13"
1.73619223716415e-19,0.614002020654254,0.498,0.244,5.35962543612575e-15,"12","MSRA"
1.89376315884114e-19,1.07157633481851,0.289,0.113,5.84604687134259e-15,"12","AMDHD2"
1.97740437375164e-19,0.593823621350337,0.337,0.14,6.10424730177131e-15,"12","WSB2"
2.00146869544864e-19,0.730166583713138,0.368,0.161,6.17853386284996e-15,"12","APIP"
2.35464798026241e-19,0.666912300802669,0.667,0.37,7.26879831507006e-15,"12","PITPNA"
2.43658437706763e-19,0.582323292197891,0.683,0.374,7.52173597200776e-15,"12","PPP1CA"
2.5355216600237e-19,0.90504547516156,0.362,0.158,7.82715536449315e-15,"12","PAX8-AS1"
2.5402565072161e-19,0.696834684102314,0.365,0.16,7.84177183777611e-15,"12","PARP12"
2.82602917691513e-19,0.681352050542592,0.648,0.364,8.72395206913699e-15,"12","STAT1"
3.07147688161609e-19,0.569804720432671,0.927,0.731,9.48164913354887e-15,"12","SPAG9"
3.29795570411799e-19,0.590068984993375,0.257,0.095,1.01807892586122e-14,"12","TANGO2"
3.32345955993536e-19,0.665272266493089,0.317,0.13,1.02595196615205e-14,"12","MOSPD2"
3.46296794253671e-19,0.834558578144047,0.473,0.228,1.06901820386108e-14,"12","OSBPL11"
3.49471494502274e-19,0.622621643779546,0.365,0.158,1.07881850352852e-14,"12","FURIN"
3.7131938398974e-19,0.777100936545866,0.273,0.105,1.14626293837633e-14,"12","OAS2"
3.85127209612837e-19,0.515088425101736,0.765,0.455,1.18888769607483e-14,"12","ERP44"
4.19846421241566e-19,0.497069139989418,0.711,0.399,1.29606590237271e-14,"12","TGOLN2"
5.04699272959119e-19,1.35051643191757,0.387,0.179,1.5580066556248e-14,"12","SATB1-AS1"
5.39393850606549e-19,0.418079932707467,0.517,0.252,1.66510881682242e-14,"12","CHP1"
5.42960243209597e-19,1.1792842675626,0.273,0.108,1.67611827078803e-14,"12","FCN1"
5.68098745666996e-19,0.808106810999018,0.756,0.466,1.75372082787402e-14,"12","OXSR1"
5.84444296410117e-19,0.66643867994656,0.74,0.45,1.80417954301803e-14,"12","TMED5"
5.93301598966528e-19,1.00140906586929,0.362,0.159,1.83152203600967e-14,"12","MROH1"
6.12090503370056e-19,0.563293342416352,0.463,0.219,1.88952338390336e-14,"12","PRDX4"
6.24143461235333e-19,0.472685783263232,0.594,0.298,1.92673086483347e-14,"12","SLCO3A1"
6.64369247632977e-19,0.6466509856154,0.641,0.335,2.050907867443e-14,"12","STK3"
6.77262694044278e-19,0.624134857819524,0.537,0.267,2.09070993651469e-14,"12","MCRIP1"
7.32703772624587e-19,0.744384640761028,0.584,0.314,2.2618565460921e-14,"12","SSR1"
7.61648833872921e-19,0.813961118115019,0.273,0.106,2.35120995016571e-14,"12","ME1"
7.65234631218831e-19,0.618363493434185,0.549,0.283,2.36227930657253e-14,"12","ERO1A"
7.88463500541093e-19,0.785388053674258,0.254,0.095,2.43398682617035e-14,"12","TMED1"
8.93138897209658e-19,0.509864825485155,0.873,0.639,2.75711977568621e-14,"12","POMP"
8.94196304299231e-19,0.961343893118691,0.267,0.104,2.76038399137173e-14,"12","PTPMT1"
9.06025831359897e-19,0.578239073132457,0.883,0.627,2.796901741408e-14,"12","PDIA3"
9.40172408572835e-19,0.612906301380101,0.606,0.319,2.90231222526434e-14,"12","NDUFB3"
9.56189672834527e-19,0.693213998971783,0.517,0.261,2.95175752004018e-14,"12","VMA21"
9.70352022103618e-19,0.496626227898011,0.419,0.19,2.99547669223387e-14,"12","MICAL1"
1.01130079440661e-18,0.613231536993233,0.463,0.222,3.1218855523332e-14,"12","MPHOSPH6"
1.06826532683524e-18,0.530006819958274,0.492,0.237,3.2977350639404e-14,"12","ITPA"
1.07273029705164e-18,0.567329000783141,0.727,0.417,3.31151842699843e-14,"12","PACSIN2"
1.10642055924663e-18,0.674653102258932,0.349,0.151,3.41552026639434e-14,"12","RPE"
1.11078998453184e-18,0.865173949513964,0.53,0.28,3.4290086822498e-14,"12","TMEM147"
1.11759390638006e-18,0.51178886986343,0.413,0.187,3.45001238899524e-14,"12","PARP9"
1.12036685071645e-18,1.26034515678897,0.597,0.347,3.45857246816167e-14,"12","GBE1"
1.27378880361593e-18,0.853356217059054,0.346,0.151,3.93218603676237e-14,"12","GAB3"
1.30601175723249e-18,0.573573145221563,0.559,0.285,4.03165829457671e-14,"12","EHD4"
1.3879049174767e-18,1.00720398377181,0.622,0.382,4.28446248025056e-14,"12","CCL4"
1.39469544900723e-18,0.680412303901576,0.337,0.144,4.30542485108533e-14,"12","TMCC3"
1.44506763284432e-18,1.01148745249042,0.365,0.165,4.46092378259041e-14,"12","MAP3K20"
1.44792678188398e-18,0.599728095760275,0.39,0.174,4.46974997567585e-14,"12","CBR1"
1.47742244685772e-18,0.672320086576166,0.638,0.352,4.56080309344979e-14,"12","OSTC"
1.50540677562464e-18,0.505574304220298,0.343,0.146,4.64719071635327e-14,"12","CLN3"
1.53105794792781e-18,0.636003602745367,0.803,0.503,4.72637588525316e-14,"12","P4HA1"
